wl,n
65.250,3.00873
65.300,3.00779
65.350,3.00685
65.400,3.00592
65.450,3.00499
65.500,3.00406
65.550,3.00314
65.600,3.00222
65.650,3.00130
65.700,3.00039
65.750,2.99948
65.800,2.99857
65.850,2.99767
65.900,2.99677
65.950,2.99587
66.000,2.99497
66.050,2.99408
66.100,2.99319
66.150,2.99231
66.200,2.99143
66.250,2.99055
66.300,2.98967
66.350,2.98880
66.400,2.98793
66.450,2.98706
66.500,2.98620
66.550,2.98534
66.600,2.98448
66.650,2.98363
66.700,2.98278
66.750,2.98193
66.800,2.98108
66.850,2.98024
66.900,2.97940
66.950,2.97857
67.000,2.97773
67.050,2.97690
67.100,2.97607
67.150,2.97525
67.200,2.97442
67.250,2.97360
67.300,2.97279
67.350,2.97197
67.400,2.97116
67.450,2.97035
67.500,2.96955
67.550,2.96874
67.600,2.96794
67.650,2.96715
67.700,2.96635
67.750,2.96556
67.800,2.96477
67.850,2.96398
67.900,2.96320
67.950,2.96242
68.000,2.96164
68.050,2.96086
68.100,2.96009
68.150,2.95932
68.200,2.95855
68.250,2.95778
68.300,2.95702
68.350,2.95626
68.400,2.95550
68.450,2.95474
68.500,2.95399
68.550,2.95324
68.600,2.95249
68.650,2.95174
68.700,2.95100
68.750,2.95026
68.800,2.94952
68.850,2.94878
68.900,2.94805
68.950,2.94731
69.000,2.94658
69.050,2.94586
69.100,2.94513
69.150,2.94441
69.200,2.94369
69.250,2.94297
69.300,2.94226
69.350,2.94154
69.400,2.94083
69.450,2.94012
69.500,2.93942
69.550,2.93871
69.600,2.93801
69.650,2.93731
69.700,2.93662
69.750,2.93592
69.800,2.93523
69.850,2.93454
69.900,2.93385
69.950,2.93316
70.000,2.93248
70.050,2.93180
70.100,2.93112
70.150,2.93044
70.200,2.92976
70.250,2.92909
70.300,2.92842
70.350,2.92775
70.400,2.92708
70.450,2.92642
70.500,2.92575
70.550,2.92509
70.600,2.92443
70.650,2.92378
70.700,2.92312
70.750,2.92247
70.800,2.92182
70.850,2.92117
70.900,2.92052
70.950,2.91988
71.000,2.91924
71.050,2.91860
71.100,2.91796
71.150,2.91732
71.200,2.91668
71.250,2.91605
71.300,2.91542
71.350,2.91479
71.400,2.91416
71.450,2.91354
71.500,2.91292
71.550,2.91229
71.600,2.91167
71.650,2.91106
71.700,2.91044
71.750,2.90983
71.800,2.90921
71.850,2.90860
71.900,2.90799
71.950,2.90739
72.000,2.90678
72.050,2.90618
72.100,2.90558
72.150,2.90498
72.200,2.90438
72.250,2.90379
72.300,2.90319
72.350,2.90260
72.400,2.90201
72.450,2.90142
72.500,2.90083
72.550,2.90025
72.600,2.89966
72.650,2.89908
72.700,2.89850
72.750,2.89792
72.800,2.89735
72.850,2.89677
72.900,2.89620
72.950,2.89562
73.000,2.89505
73.050,2.89449
73.100,2.89392
73.150,2.89335
73.200,2.89279
73.250,2.89223
73.300,2.89167
73.350,2.89111
73.400,2.89055
73.450,2.89000
73.500,2.88944
73.550,2.88889
73.600,2.88834
73.650,2.88779
73.700,2.88724
73.750,2.88670
73.800,2.88615
73.850,2.88561
73.900,2.88507
73.950,2.88453
74.000,2.88399
74.050,2.88345
74.100,2.88292
74.150,2.88239
74.200,2.88185
74.250,2.88132
74.300,2.88079
74.350,2.88027
74.400,2.87974
74.450,2.87922
74.500,2.87869
74.550,2.87817
74.600,2.87765
74.650,2.87713
74.700,2.87661
74.750,2.87610
74.800,2.87558
74.850,2.87507
74.900,2.87456
74.950,2.87405
75.000,2.87354
75.050,2.87303
75.100,2.87253
75.150,2.87202
75.200,2.87152
75.250,2.87102
75.300,2.87052
75.350,2.87002
75.400,2.86952
75.450,2.86903
75.500,2.86853
75.550,2.86804
75.600,2.86755
75.650,2.86705
75.700,2.86657
75.750,2.86608
75.800,2.86559
75.850,2.86511
75.900,2.86462
75.950,2.86414
76.000,2.86366
76.050,2.86318
76.100,2.86270
76.150,2.86222
76.200,2.86174
76.250,2.86127
76.300,2.86080
76.350,2.86032
76.400,2.85985
76.450,2.85938
76.500,2.85891
76.550,2.85845
76.600,2.85798
76.650,2.85751
76.700,2.85705
76.750,2.85659
76.800,2.85613
76.850,2.85567
76.900,2.85521
76.950,2.85475
77.000,2.85430
77.050,2.85384
77.100,2.85339
77.150,2.85293
77.200,2.85248
77.250,2.85203
77.300,2.85158
77.350,2.85114
77.400,2.85069
77.450,2.85024
77.500,2.84980
77.550,2.84936
77.600,2.84891
77.650,2.84847
77.700,2.84803
77.750,2.84759
77.800,2.84716
77.850,2.84672
77.900,2.84629
77.950,2.84585
78.000,2.84542
78.050,2.84499
78.100,2.84456
78.150,2.84413
78.200,2.84370
78.250,2.84327
78.300,2.84284
78.350,2.84242
78.400,2.84200
78.450,2.84157
78.500,2.84115
78.550,2.84073
78.600,2.84031
78.650,2.83989
78.700,2.83947
78.750,2.83906
78.800,2.83864
78.850,2.83823
78.900,2.83781
78.950,2.83740
79.000,2.83699
79.050,2.83658
79.100,2.83617
79.150,2.83576
79.200,2.83536
79.250,2.83495
79.300,2.83455
79.350,2.83414
79.400,2.83374
79.450,2.83334
79.500,2.83294
79.550,2.83254
79.600,2.83214
79.650,2.83174
79.700,2.83134
79.750,2.83095
79.800,2.83055
79.850,2.83016
79.900,2.82977
79.950,2.82937
80.000,2.82898
