"Date/Time","Date/Time","No.1","No.2","No.3"
"Date/Time","Date/Time","A","B","air"
"","","°C","°C","°C"
"2025-10-03 14:31:22","45933.6051157407","52.5","52.4","35.3"
"2025-10-03 14:31:27","45933.6051736111","52.5","52.4","35.3"
"2025-10-03 14:31:32","45933.6052314815","52.7","52.5","35.3"
"2025-10-03 14:31:37","45933.6052893518","52.8","52.6","35.3"
"2025-10-03 14:31:42","45933.6053472222","52.9","52.6","35.3"
"2025-10-03 14:31:47","45933.6054050926","53.0","52.7","35.6"
"2025-10-03 14:31:52","45933.6054629630","53.0","52.8","35.6"
"2025-10-03 14:31:57","45933.6055208333","53.0","52.8","35.5"
"2025-10-03 14:32:02","45933.6055787037","53.1","52.8","35.6"
"2025-10-03 14:32:07","45933.6056365741","53.1","52.9","35.6"
"2025-10-03 14:32:12","45933.6056944444","53.1","52.9","35.6"
"2025-10-03 14:32:17","45933.6057523148","53.0","52.8","35.6"
"2025-10-03 14:32:22","45933.6058101852","52.8","52.6","35.6"
"2025-10-03 14:32:27","45933.6058680556","52.7","52.6","35.6"
"2025-10-03 14:32:32","45933.6059259259","52.6","52.5","35.7"
"2025-10-03 14:32:37","45933.6059837963","52.6","52.5","35.6"
"2025-10-03 14:32:42","45933.6060416667","52.5","52.5","35.7"
"2025-10-03 14:32:47","45933.6060995370","52.5","52.4","35.7"
"2025-10-03 14:32:52","45933.6061574074","52.5","52.4","35.8"
"2025-10-03 14:32:57","45933.6062152778","52.4","52.4","35.7"
"2025-10-03 14:33:02","45933.6062731482","52.4","52.4","35.8"
"2025-10-03 14:33:07","45933.6063310185","52.4","52.4","35.7"
"2025-10-03 14:33:12","45933.6063888889","52.4","52.4","35.7"
"2025-10-03 14:33:17","45933.6064467593","52.4","52.4","35.7"
"2025-10-03 14:33:22","45933.6065046296","52.4","52.5","35.8"
"2025-10-03 14:33:27","45933.6065625000","52.4","52.5","35.7"
"2025-10-03 14:33:32","45933.6066203704","52.4","52.5","35.7"
"2025-10-03 14:33:37","45933.6066782407","52.4","52.5","35.6"
"2025-10-03 14:33:42","45933.6067361111","52.4","52.6","35.5"
"2025-10-03 14:33:47","45933.6067939815","52.4","52.6","35.6"
"2025-10-03 14:33:52","45933.6068518519","52.5","52.6","35.6"
"2025-10-03 14:33:57","45933.6069097222","52.4","52.6","35.6"
"2025-10-03 14:34:02","45933.6069675926","52.5","52.7","35.6"
"2025-10-03 14:34:07","45933.6070254630","52.5","52.7","35.7"
"2025-10-03 14:34:12","45933.6070833333","52.5","52.8","35.7"
"2025-10-03 14:34:17","45933.6071412037","52.5","52.8","35.8"
"2025-10-03 14:34:22","45933.6071990741","52.6","52.9","35.7"
"2025-10-03 14:34:27","45933.6072569444","52.6","52.9","35.7"
"2025-10-03 14:34:32","45933.6073148148","52.6","52.9","35.7"
"2025-10-03 14:34:37","45933.6073726852","52.6","53.0","35.9"
"2025-10-03 14:34:42","45933.6074305556","52.7","53.1","36.0"
"2025-10-03 14:34:47","45933.6074884259","52.7","53.1","36.0"
"2025-10-03 14:34:52","45933.6075462963","52.7","53.1","35.7"
"2025-10-03 14:34:57","45933.6076041667","52.7","53.2","35.5"
"2025-10-03 14:35:02","45933.6076620370","52.7","53.2","35.5"
"2025-10-03 14:35:07","45933.6077199074","52.7","53.2","35.4"
"2025-10-03 14:35:12","45933.6077777778","52.8","53.2","35.2"
"2025-10-03 14:35:17","45933.6078356481","52.7","53.2","34.9"
"2025-10-03 14:35:22","45933.6078935185","52.8","53.2","34.7"
"2025-10-03 14:35:27","45933.6079513889","52.7","53.2","34.5"
"2025-10-03 14:35:32","45933.6080092593","52.7","53.2","34.3"
"2025-10-03 14:35:37","45933.6080671296","52.7","53.1","34.0"
"2025-10-03 14:35:42","45933.6081250000","52.7","53.1","34.1"
"2025-10-03 14:35:47","45933.6081828704","52.7","53.0","34.2"
"2025-10-03 14:35:52","45933.6082407407","52.7","53.0","34.2"
"2025-10-03 14:35:57","45933.6082986111","52.7","53.0","34.2"
"2025-10-03 14:36:02","45933.6083564815","52.7","53.0","34.2"
"2025-10-03 14:36:07","45933.6084143519","52.7","53.0","34.4"
"2025-10-03 14:36:12","45933.6084722222","52.8","53.1","34.3"
"2025-10-03 14:36:17","45933.6085300926","52.8","53.1","34.3"
"2025-10-03 14:36:22","45933.6085879630","52.8","53.1","34.2"
"2025-10-03 14:36:27","45933.6086458333","52.9","53.1","34.2"
"2025-10-03 14:36:32","45933.6087037037","52.9","53.2","34.1"
"2025-10-03 14:36:37","45933.6087615741","52.9","53.2","33.9"
"2025-10-03 14:36:42","45933.6088194444","52.9","53.2","33.8"
"2025-10-03 14:36:47","45933.6088773148","52.9","53.2","33.7"
"2025-10-03 14:36:52","45933.6089351852","53.0","53.2","33.7"
"2025-10-03 14:36:57","45933.6089930556","53.0","53.3","33.7"
"2025-10-03 14:37:02","45933.6090509259","52.9","53.2","33.8"
"2025-10-03 14:37:07","45933.6091087963","53.0","53.2","33.9"
"2025-10-03 14:37:12","45933.6091666667","53.0","53.3","34.0"
"2025-10-03 14:37:17","45933.6092245370","53.0","53.2","34.1"
"2025-10-03 14:37:22","45933.6092824074","53.0","53.3","34.2"
"2025-10-03 14:37:27","45933.6093402778","53.0","53.3","34.2"
"2025-10-03 14:37:32","45933.6093981481","53.0","53.2","34.0"
"2025-10-03 14:37:37","45933.6094560185","53.0","53.3","33.8"
"2025-10-03 14:37:42","45933.6095138889","53.1","53.3","33.7"
"2025-10-03 14:37:47","45933.6095717593","53.0","53.3","33.6"
"2025-10-03 14:37:52","45933.6096296296","53.0","53.3","33.7"
"2025-10-03 14:37:57","45933.6096875000","53.1","53.3","33.8"
"2025-10-03 14:38:02","45933.6097453704","53.0","53.2","33.8"
"2025-10-03 14:38:07","45933.6098032407","53.0","53.3","33.7"
"2025-10-03 14:38:12","45933.6098611111","53.1","53.3","33.8"
"2025-10-03 14:38:17","45933.6099189815","53.1","53.3","33.9"
"2025-10-03 14:38:22","45933.6099768519","53.1","53.3","33.9"
"2025-10-03 14:38:27","45933.6100347222","53.1","53.4","34.0"
"2025-10-03 14:38:32","45933.6100925926","53.2","53.4","34.1"
"2025-10-03 14:38:37","45933.6101504630","53.2","53.5","34.2"
"2025-10-03 14:38:42","45933.6102083333","53.2","53.4","34.2"
"2025-10-03 14:38:47","45933.6102662037","53.2","53.4","34.0"
"2025-10-03 14:38:52","45933.6103240741","53.2","53.5","34.0"
"2025-10-03 14:38:57","45933.6103819444","53.2","53.5","34.1"
"2025-10-03 14:39:02","45933.6104398148","53.2","53.5","34.1"
"2025-10-03 14:39:07","45933.6104976852","53.2","53.5","34.1"
"2025-10-03 14:39:12","45933.6105555556","53.3","53.6","34.0"
"2025-10-03 14:39:17","45933.6106134259","53.3","53.6","34.1"
"2025-10-03 14:39:22","45933.6106712963","53.3","53.6","34.2"
"2025-10-03 14:39:27","45933.6107291667","53.3","53.6","34.2"
"2025-10-03 14:39:32","45933.6107870370","53.3","53.7","34.0"
"2025-10-03 14:39:37","45933.6108449074","53.3","53.7","33.9"
"2025-10-03 14:39:42","45933.6109027778","53.4","53.8","33.9"
"2025-10-03 14:39:47","45933.6109606481","53.4","53.8","34.0"
"2025-10-03 14:39:52","45933.6110185185","53.4","53.8","34.1"
"2025-10-03 14:39:57","45933.6110763889","53.4","53.8","34.1"
"2025-10-03 14:40:02","45933.6111342593","53.4","53.9","34.0"
"2025-10-03 14:40:07","45933.6111921296","53.4","53.9","34.1"
"2025-10-03 14:40:12","45933.6112500000","53.5","54.0","34.1"
"2025-10-03 14:40:17","45933.6113078704","53.5","54.0","34.0"
"2025-10-03 14:40:22","45933.6113657407","53.5","54.0","34.0"
"2025-10-03 14:40:27","45933.6114236111","53.6","54.1","34.1"
"2025-10-03 14:40:32","45933.6114814815","53.5","54.0","34.1"
"2025-10-03 14:40:37","45933.6115393518","53.5","54.0","33.9"
"2025-10-03 14:40:42","45933.6115972222","53.5","54.0","33.8"
